nth vaddr      bind type lib          name
90  0x00449554 NONE FUNC user32.dll   GetMenuState
91  0x00449558 NONE FUNC user32.dll   GetMenuItemInfoA
92  0x0044955c NONE FUNC user32.dll   GetMenuItemID
93  0x00449560 NONE FUNC user32.dll   GetMenuItemCount
94  0x00449564 NONE FUNC user32.dll   GetMenu
95  0x00449568 NONE FUNC user32.dll   GetLastActivePopup
96  0x0044956c NONE FUNC user32.dll   GetKeyboardState
97  0x00449570 NONE FUNC user32.dll   GetKeyboardLayoutList
98  0x00449574 NONE FUNC user32.dll   GetKeyboardLayout
99  0x00449578 NONE FUNC user32.dll   GetKeyState
100 0x0044957c NONE FUNC user32.dll   GetKeyNameTextA
101 0x00449580 NONE FUNC user32.dll   GetIconInfo
102 0x00449584 NONE FUNC user32.dll   GetForegroundWindow
103 0x00449588 NONE FUNC user32.dll   GetFocus
104 0x0044958c NONE FUNC user32.dll   GetDesktopWindow
105 0x00449590 NONE FUNC user32.dll   GetDCEx
106 0x00449594 NONE FUNC user32.dll   GetDC
107 0x00449598 NONE FUNC user32.dll   GetCursorPos
108 0x0044959c NONE FUNC user32.dll   GetCursor
109 0x004495a0 NONE FUNC user32.dll   GetClientRect
110 0x004495a4 NONE FUNC user32.dll   GetClassInfoA
111 0x004495a8 NONE FUNC user32.dll   GetCapture
112 0x004495ac NONE FUNC user32.dll   GetActiveWindow
113 0x004495b0 NONE FUNC user32.dll   FrameRect
114 0x004495b4 NONE FUNC user32.dll   FindWindowA
115 0x004495b8 NONE FUNC user32.dll   FillRect
116 0x004495bc NONE FUNC user32.dll   EqualRect
117 0x004495c0 NONE FUNC user32.dll   EnumWindows
118 0x004495c4 NONE FUNC user32.dll   EnumThreadWindows
119 0x004495c8 NONE FUNC user32.dll   EndPaint
120 0x004495cc NONE FUNC user32.dll   EnableWindow
121 0x004495d0 NONE FUNC user32.dll   EnableScrollBar
122 0x004495d4 NONE FUNC user32.dll   EnableMenuItem
123 0x004495d8 NONE FUNC user32.dll   DrawTextA
124 0x004495dc NONE FUNC user32.dll   DrawMenuBar
125 0x004495e0 NONE FUNC user32.dll   DrawIconEx
126 0x004495e4 NONE FUNC user32.dll   DrawIcon
127 0x004495e8 NONE FUNC user32.dll   DrawFrameControl
128 0x004495ec NONE FUNC user32.dll   DrawEdge
129 0x004495f0 NONE FUNC user32.dll   DispatchMessageA
130 0x004495f4 NONE FUNC user32.dll   DestroyWindow
131 0x004495f8 NONE FUNC user32.dll   DestroyMenu
132 0x004495fc NONE FUNC user32.dll   DestroyIcon
133 0x00449600 NONE FUNC user32.dll   DestroyCursor
134 0x00449604 NONE FUNC user32.dll   DeleteMenu
135 0x00449608 NONE FUNC user32.dll   DefWindowProcA
136 0x0044960c NONE FUNC user32.dll   DefMDIChildProcA
137 0x00449610 NONE FUNC user32.dll   DefFrameProcA
138 0x00449614 NONE FUNC user32.dll   CreateWindowExA
139 0x00449618 NONE FUNC user32.dll   CreatePopupMenu
140 0x0044961c NONE FUNC user32.dll   CreateMenu
141 0x00449620 NONE FUNC user32.dll   CreateIcon
142 0x00449624 NONE FUNC user32.dll   ClientToScreen
143 0x00449628 NONE FUNC user32.dll   CheckMenuItem
144 0x0044962c NONE FUNC user32.dll   CallWindowProcA
145 0x00449630 NONE FUNC user32.dll   CallNextHookEx
146 0x00449634 NONE FUNC user32.dll   BeginPaint
147 0x00449638 NONE FUNC user32.dll   CharLowerA
148 0x0044963c NONE FUNC user32.dll   AdjustWindowRectEx
149 0x00449640 NONE FUNC user32.dll   ActivateKeyboardLayout
1   0x00449648 NONE FUNC ole32.dll    IsEqualGUID
1   0x00449650 NONE FUNC comctl32.dll ImageList_SetIconSize
2   0x00449654 NONE FUNC comctl32.dll ImageList_GetIconSize
3   0x00449658 NONE FUNC comctl32.dll ImageList_Write
4   0x0044965c NONE FUNC comctl32.dll ImageList_Read
5   0x00449660 NONE FUNC comctl32.dll ImageList_GetDragImage
6   0x00449664 NONE FUNC comctl32.dll ImageList_DragShowNolock
7   0x00449668 NONE FUNC comctl32.dll ImageList_SetDragCursorImage
8   0x0044966c NONE FUNC comctl32.dll ImageList_DragMove
9   0x00449670 NONE FUNC comctl32.dll ImageList_DragLeave
10  0x00449674 NONE FUNC comctl32.dll ImageList_DragEnter
11  0x00449678 NONE FUNC comctl32.dll ImageList_EndDrag
12  0x0044967c NONE FUNC comctl32.dll ImageList_BeginDrag
13  0x00449680 NONE FUNC comctl32.dll ImageList_Remove
14  0x00449684 NONE FUNC comctl32.dll ImageList_DrawEx
15  0x00449688 NONE FUNC comctl32.dll ImageList_Draw
16  0x0044968c NONE FUNC comctl32.dll ImageList_GetBkColor
17  0x00449690 NONE FUNC comctl32.dll ImageList_SetBkColor
18  0x00449694 NONE FUNC comctl32.dll ImageList_ReplaceIcon
19  0x00449698 NONE FUNC comctl32.dll ImageList_Add
20  0x0044969c NONE FUNC comctl32.dll ImageList_GetImageCount
21  0x004496a0 NONE FUNC comctl32.dll ImageList_Destroy
22  0x004496a4 NONE FUNC comctl32.dll ImageList_Create
1   0x004496ac NONE FUNC kernel32.dll ReadFileEx
