nth vaddr      bind type lib          name
161 0x027b0824 NONE FUNC user32.dll   DeferWindowPos
162 0x027b0828 NONE FUNC user32.dll   DefWindowProcA
163 0x027b082c NONE FUNC user32.dll   DefMDIChildProcA
164 0x027b0830 NONE FUNC user32.dll   DefFrameProcA
165 0x027b0834 NONE FUNC user32.dll   CreatePopupMenu
166 0x027b0838 NONE FUNC user32.dll   CreateMenu
167 0x027b083c NONE FUNC user32.dll   CreateIcon
168 0x027b0840 NONE FUNC user32.dll   CloseClipboard
169 0x027b0844 NONE FUNC user32.dll   ClientToScreen
170 0x027b0848 NONE FUNC user32.dll   CheckMenuItem
171 0x027b084c NONE FUNC user32.dll   CallWindowProcA
172 0x027b0850 NONE FUNC user32.dll   CallNextHookEx
173 0x027b0854 NONE FUNC user32.dll   BeginPaint
174 0x027b0858 NONE FUNC user32.dll   BeginDeferWindowPos
175 0x027b0288 NONE FUNC user32.dll   CharNextA
176 0x027b0860 NONE FUNC user32.dll   CharLowerBuffA
177 0x027b0864 NONE FUNC user32.dll   CharLowerA
178 0x027b0868 NONE FUNC user32.dll   CharUpperBuffA
179 0x027b086c NONE FUNC user32.dll   CharToOemA
180 0x027b0870 NONE FUNC user32.dll   AdjustWindowRectEx
181 0x027b0874 NONE FUNC user32.dll   ActivateKeyboardLayout
1   0x027b087c NONE FUNC ole32.dll    IsEqualGUID
2   0x027b0880 NONE FUNC ole32.dll    CoTaskMemFree
3   0x027b0884 NONE FUNC ole32.dll    StringFromCLSID
4   0x027b0888 NONE FUNC ole32.dll    CoCreateGuid
1   0x027b02e8 NONE FUNC kernel32.dll Sleep
1   0x027b0898 NONE FUNC oleaut32.dll SafeArrayPtrOfIndex
2   0x027b089c NONE FUNC oleaut32.dll SafeArrayPutElement
3   0x027b08a0 NONE FUNC oleaut32.dll SafeArrayGetElement
4   0x027b08a4 NONE FUNC oleaut32.dll SafeArrayUnaccessData
5   0x027b08a8 NONE FUNC oleaut32.dll SafeArrayAccessData
6   0x027b08ac NONE FUNC oleaut32.dll SafeArrayGetUBound
7   0x027b08b0 NONE FUNC oleaut32.dll SafeArrayGetLBound
